launch_id,kernel_name,mangled_name,grid_size,block_size,cycles_speedup,mem_instr_reduce_pct,l1_to_l2_traffic_reduce_pct,l2_to_dram_rd_traffic_reduce_pct
0,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",0.9884679084472295,0.019185265715930166,0.0,-0.12755102040816327
1,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0345190337496761,0.0,0.0,0.08562691131498472
2,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.1661370250318266,0.15270575509814527,0.0,19.399159233056494
3,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0022077889541656,0.0,0.0,1.16593028964163
4,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.111185336031873,0.8090765367804333,0.0031490112104799097,-7.772283504501078
5,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",0.9801480045482506,0.0,0.003153977165205324,-3.7759918356933286
6,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.1572373893390802,3.9190178063257175,0.014613046527940144,2.9344599223567025
7,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.010803041180436,0.0,-0.03827807549614275,-1.3016845329249618
8,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.1323987384702219,12.979323454712603,0.03303873792021145,2.1041774110366167
9,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",0.9464231990206656,0.0,0.022125851845296043,1.4093368566754751
10,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.16766999415784,21.416623379099015,-0.11713928568620822,5.871404399323181
11,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",0.9932325019237539,0.0,0.1516919486581097,6.048150322959484
12,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.1527535956500397,22.852076728816293,-0.834898845940578,0.2917012337088875
13,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0281987261146497,0.0,0.08365413661959831,-13.352941176470587
14,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",0.998047214320668,18.540105042549413,-0.6431013780492577,2.212818329722576
15,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0050261854995972,0.0,0.12379642365887208,15.118833632913919
16,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.0270540905127925,15.891823087456695,6.374664861369421,5.215684794505038
17,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0065539831230728,0.0,0.0733445896905011,-17.256377101210767
18,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.0363715914979827,-0.7755218239440287,2.09981032126467,-1.6243137698794499
19,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",0.980039928000748,0.0,-0.09522021350785902,0.012761613067891782
20,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.0676352181316804,-5.054129481399699,-0.004965777516614664,11.427359327394038
21,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",0.9940791994691374,0.0,0.0,-2.5173940543959517
22,"Kernel(Node *, int *, bool *, bool *, bool *, int *, int)",_Z6KernelP4NodePiPbS2_S2_S1_i,"(1954,1,1)","(512,1,1)",1.005921446624509,0.0,0.0,0.49382716049382713
23,"Kernel2(bool *, bool *, bool *, bool *, int)",_Z7Kernel2PbS_S_S_i,"(1954,1,1)","(512,1,1)",1.0174718212987865,0.0,0.0,1.4215624606868789
