launch_id,kernel_name,mangled_name,grid_size,block_size,cycles_speedup,mem_instr_reduce_pct,l1_to_l2_traffic_reduce_pct,l2_to_dram_rd_traffic_reduce_pct
0,"extract(long, float *)",_Z7extractlPf,"(450,1,1)","(512,1,1)",1.0068061740073369,0.0,0.0,0.0
1,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.0330005815080443,0.0,0.0,1.9857029388403495
2,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3434105519006838,89.33058774256595,0.0,-1.7991834475122828
3,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.8325941223121225,91.03260869565217,5.2521008403361344,18.61198738170347
4,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",0.9970666896730221,0.0,-0.002583834669032311,-23.638105666575417
5,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",0.9988047714842522,0.0,0.10689447740718142,-1.3455303381194998
6,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.0968682274280401,0.0,0.0,-0.7216208714959755
7,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.359325673201501,89.33058774256595,0.0,1.6228128756511286
8,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.9391810967470606,91.03260869565217,5.2521008403361344,38.95274584929757
9,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.002930735573351,0.0,0.0,-1.3226853007237334
10,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",1.0828334389848568,0.0,-0.007794367270585791,1.4226342710997442
11,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.049398742499223,0.0,0.0,-3.330557868442964
12,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3676255410426323,89.33058774256595,0.0,-2.0483011556293684
13,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.8992495908584495,91.03260869565217,5.2521008403361344,82.57152252548504
14,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.007502146019486,0.0,-0.0008612856410764348,-0.013687380235422939
15,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",1.004686064174934,0.0,0.11125492963233925,0.35534833189986875
16,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",0.9715890032027276,0.0,0.0,0.0
17,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3552648695089227,89.33058774256595,0.0,0.6347016212487064
18,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.901872647242238,91.03260869565217,5.2521008403361344,46.75767918088737
19,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.0055968063471088,0.0,0.0,12.124127976906422
